時間軸（月次）,非労働力人口,完全失業者,非正規の職員・従業員,正規の職員・従業員,雇用者,15歳以上人口,役員を除く雇用者,労働力人口,就業者,その他
2013年1月,4583,273,1823,3336,5502,11090,5168,6502,6228,83
2013年2月,4561,277,1900,3273,5515,11086,5174,6519,6242,90
2013年3月,4554,280,1887,3255,5485,11086,5142,6526,6246,82
2013年4月,4477,291,1852,3328,5530,11083,5181,6603,6312,78
2013年5月,4461,279,1891,3323,5554,11087,5213,6619,6340,85
2013年6月,4488,260,1900,3326,5571,11090,5226,6593,6333,89
2013年7月,4517,255,1879,3313,5547,11088,5193,6566,6311,81
2013年8月,4499,271,1906,3309,5562,11086,5216,6581,6310,81
2013年9月,4470,258,1940,3291,5575,11091,5232,6617,6359,73
2013年10月,4458,263,1964,3291,5596,11091,5256,6629,6366,77
2013年11月,4466,249,1964,3310,5619,11089,5274,6620,6371,78
2013年12月,4539,225,1967,3273,5583,11085,5240,6544,6319,86
2014年1月,4579,238,1956,3242,5548,11084,5198,6501,6262,83
2014年2月,4558,232,1989,3219,5544,11079,5208,6516,6283,91
2014年3月,4529,246,1964,3233,5541,11081,5198,6544,6298,87
2014年4月,4478,254,1909,3288,5549,11079,5198,6592,6338,84
2014年5月,4435,242,1921,3324,5592,11082,5246,6640,6398,84
2014年6月,4441,245,1936,3324,5617,11081,5260,6634,6389,89
2014年7月,4474,248,1939,3307,5600,11085,5247,6604,6357,89
2014年8月,4479,231,1948,3305,5600,11079,5253,6595,6363,88
2014年9月,4444,233,1970,3327,5636,11084,5298,6635,6402,91
2014年10月,4454,233,1980,3298,5629,11085,5279,6623,6390,80
2014年11月,4489,219,2012,3281,5637,11085,5294,6590,6371,84
2014年12月,4508,210,2016,3291,5645,11080,5308,6567,6357,82
2015年1月,4531,231,1989,3273,5611,11077,5263,6540,6309,87
2015年2月,4520,226,1974,3277,5595,11074,5252,6548,6322,85
2015年3月,4521,228,1973,3271,5580,11074,5245,6547,6319,87
2015年4月,4491,234,1939,3294,5578,11073,5233,6576,6342,88
2015年5月,4443,224,1949,3331,5624,11076,5281,6624,6400,85
2015年6月,4426,224,1970,3345,5665,11081,5315,6648,6425,90
2015年7月,4466,222,1956,3336,5632,11076,5293,6603,6381,82
2015年8月,4462,225,1972,3329,5639,11075,5302,6603,6379,85
2015年9月,4408,227,1986,3348,5687,11080,5335,6665,6439,86
2015年10月,4437,208,1997,3331,5704,11082,5328,6640,6432,76
2015年11月,4487,209,2010,3300,5676,11082,5310,6588,6379,75
2015年12月,4482,204,2038,3316,5694,11077,5355,6588,6385,76
2016年1月,4465,211,2037,3329,5712,11078,5366,6610,6399,80
2016年2月,4502,213,2008,3333,5684,11070,5342,6564,6351,73
2016年3月,4516,216,1975,3338,5649,11075,5313,6555,6339,73
2016年4月,4445,224,1962,3375,5679,11074,5338,6621,6396,70
2016年5月,4409,216,1990,3376,5718,11076,5366,6662,6446,80
2016年6月,4366,210,2016,3376,5740,11079,5393,6707,6497,84
2016年7月,4391,203,2025,3357,5721,11081,5382,6682,6479,83
2016年8月,4393,212,2028,3353,5722,11077,5382,6677,6465,93
2016年9月,4370,204,2023,3396,5771,11080,5419,6701,6497,89
2016年10月,4386,195,2028,3405,5793,11083,5433,6690,6495,89
2016年11月,4427,197,2034,3356,5758,11083,5391,6649,6452,78
2016年12月,4411,193,2064,3379,5798,11077,5443,6658,6466,76
2017年1月,4438,197,2047,3407,5793,11110,5455,6667,6470,78
2017年2月,4485,188,2005,3397,5754,11105,5402,6615,6427,82
2017年3月,4479,188,1998,3376,5728,11107,5375,6621,6433,73
2017年4月,4397,197,2004,3400,5757,11104,5404,6697,6500,71
2017年5月,4344,210,2003,3437,5796,11107,5441,6757,6547,77
2017年6月,4323,192,2046,3457,5848,11108,5505,6775,6583,79
2017年7月,4351,191,2068,3429,5839,11111,5497,6754,6563,82
2017年8月,4338,189,2054,3421,5840,11106,5476,6762,6573,78
2017年9月,4321,190,2028,3483,5866,11112,5511,6786,6596,71
2017年10月,4345,181,2041,3485,5877,11114,5525,6762,6581,81
2017年11月,4376,178,2061,3456,5865,11113,5518,6730,6552,78
2017年12月,4380,174,2081,3441,5863,11103,5522,6716,6542,80
2018年1月,4372,159,2119,3447,5880,11102,5566,6722,6562,77
2018年2月,4347,166,2120,3430,5875,11100,5551,6744,6578,78
2018年3月,4296,173,2111,3417,5872,11100,5528,6793,6620,80
2018年4月,4238,180,2104,3467,5916,11098,5572,6851,6671,80
2018年5月,4235,158,2079,3511,5931,11103,5590,6856,6698,80
2018年6月,4246,168,2102,3501,5940,11110,5603,6855,6687,81
2018年7月,4262,172,2103,3522,5953,11102,5626,6832,6660,76
2018年8月,4236,170,2108,3515,5953,11098,5622,6852,6682,78
2018年9月,4218,162,2143,3490,5966,11102,5634,6877,6715,78
2018年10月,4211,163,2156,3522,5996,11104,5678,6888,6725,76
2018年11月,4221,168,2142,3519,5983,11103,5661,6877,6709,84
2018年12月,4271,159,2156,3478,5963,11093,5634,6815,6656,93
2019年1月,4294,166,2154,3474,5953,11097,5628,6793,6628,88
2019年2月,4267,156,2157,3486,5962,11088,5643,6812,6656,88
2019年3月,4218,174,2176,3439,5948,11090,5616,6861,6687,77
2019年4月,4195,176,2116,3500,5959,11089,5616,6884,6708,84
