,完全失業者,労働力人口,就業
2009年1月,4.2,59.5,57
2009年2月,4.6,59.4,56.7
2009年3月,5.1,59.6,56.5
2009年4月,5.2,60.4,57.2
2009年5月,5.2,60.5,57.4
2009年6月,5.2,60.2,57
2009年7月,5.4,60,56.7
2009年8月,5.4,60.2,57
2009年9月,5.5,60.2,57
2009年10月,5.2,59.8,56.7
2009年11月,5,59.6,56.6
2009年12月,4.8,59.2,56.3
2010年1月,4.9,59.2,56.2
2010年2月,5,58.9,56
2010年3月,5.3,59.4,56.2
2010年4月,5.4,60,56.8
2010年5月,5.2,60.1,57
2010年6月,5.2,59.9,56.8
2010年7月,5,59.7,56.8
2010年8月,5.1,59.9,56.8
2010年9月,5.1,60.2,57.1
2010年10月,5,59.9,56.9
2010年11月,4.8,59.4,56.6
2010年12月,4.6,59.1,56.4
2011年1月,4.8,59,56.2
2011年2月,4.6,59,56.3
2011年3月,…,…,…
2011年4月,…,…,…
2011年5月,…,…,…
2011年6月,…,…,…
2011年7月,…,…,…
2011年8月,…,…,…
2011年9月,4.2,59.4,56.9
2011年10月,4.4,59.4,56.7
2011年11月,4.3,59.2,56.7
2011年12月,4.2,58.9,56.4
2012年1月,4.5,58.6,55.9
2012年2月,4.4,58.7,56.1
2012年3月,4.7,58.7,56
2012年4月,4.8,59.4,56.5
2012年5月,4.5,59.5,56.8
2012年6月,4.4,59.4,56.8
2012年7月,4.4,59.2,56.6
2012年8月,4.2,59.1,56.6
2012年9月,4.2,59.3,56.8
2012年10月,4.1,59.4,57
2012年11月,4,59.1,56.7
2012年12月,4,58.5,56.1
2013年1月,4.2,58.6,56.2
2013年2月,4.2,58.8,56.3
2013年3月,4.3,58.9,56.3
2013年4月,4.4,59.6,57
2013年5月,4.2,59.7,57.2
2013年6月,3.9,59.4,57.1
2013年7月,3.9,59.2,56.9
2013年8月,4.1,59.4,56.9
2013年9月,3.9,59.7,57.3
2013年10月,4,59.8,57.4
2013年11月,3.8,59.7,57.5
2013年12月,3.4,59,57
2014年1月,3.7,58.7,56.5
2014年2月,3.6,58.8,56.7
2014年3月,3.8,59.1,56.8
2014年4月,3.9,59.5,57.2
2014年5月,3.6,59.9,57.7
2014年6月,3.7,59.9,57.7
2014年7月,3.8,59.6,57.3
2014年8月,3.5,59.5,57.4
2014年9月,3.5,59.9,57.8
2014年10月,3.5,59.7,57.6
2014年11月,3.3,59.4,57.5
2014年12月,3.2,59.3,57.4
2015年1月,3.5,59,57
2015年2月,3.5,59.1,57.1
2015年3月,3.5,59.1,57.1
2015年4月,3.6,59.4,57.3
2015年5月,3.4,59.8,57.8
2015年6月,3.4,60,58
2015年7月,3.4,59.6,57.6
2015年8月,3.4,59.6,57.6
2015年9月,3.4,60.2,58.1
2015年10月,3.1,59.9,58
2015年11月,3.2,59.4,57.6
2015年12月,3.1,59.5,57.6
2016年1月,3.2,59.7,57.8
2016年2月,3.2,59.3,57.4
2016年3月,3.3,59.2,57.2
2016年4月,3.4,59.8,57.8
2016年5月,3.2,60.1,58.2
2016年6月,3.1,60.5,58.6
2016年7月,3,60.3,58.5
2016年8月,3.2,60.3,58.4
2016年9月,3,60.5,58.6
2016年10月,2.9,60.4,58.6
2016年11月,3,60,58.2
2016年12月,2.9,60.1,58.4
2017年1月,3,60,58.2
2017年2月,2.8,59.6,57.9
2017年3月,2.8,59.6,57.9
2017年4月,2.9,60.3,58.5
2017年5月,3.1,60.8,58.9
2017年6月,2.8,61,59.3
2017年7月,2.8,60.8,59.1
2017年8月,2.8,60.9,59.2
2017年9月,2.8,61.1,59.4
2017年10月,2.7,60.8,59.2
2017年11月,2.6,60.6,59
2017年12月,2.6,60.5,58.9
2018年1月,2.4,60.5,59.1
2018年2月,2.5,60.8,59.3
2018年3月,2.5,61.2,59.6
2018年4月,2.6,61.7,60.1
2018年5月,2.3,61.7,60.3
2018年6月,2.5,61.7,60.2
2018年7月,2.5,61.5,60
2018年8月,2.5,61.7,60.2
2018年9月,2.4,61.9,60.5
2018年10月,2.4,62,60.6
2018年11月,2.4,61.9,60.4
2018年12月,2.3,61.4,60
2019年1月,2.4,61.2,59.7
2019年2月,2.3,61.4,60
2019年3月,2.5,61.9,60.3
2019年4月,2.6,62.1,60.5
2019年5月,2.4,62.2,60.7
2019年6月,2.3,62.3,60.8
2019年7月,2.3,62.1,60.7
2019年8月,2.3,62.3,60.9
2019年9月,2.4,62.5,61
2019年10月,2.4,62.6,61.2
2019年11月,2.2,62.3,60.9
2019年12月,2.1,62.1,60.8
2020年1月,2.3,61.8,60.3
2020年2月,2.3,61.8,60.4
2020年3月,2.6,62,60.4
