報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
1988/01,14091115,15865629,6789124,116204090,268515061,423114561,479200062,639100735,224733588
1988/02,15860521,18095728,4792144,142042237,331804367,555352854,577331759,694035506,263647989
1988/03,15941906,21668485,6148394,163102904,392368560,646534715,673181180,711393117,292170956
1988/04,15913581,19172755,7510080,153800044,364535056,591194194,637093977,742624654,293790297
1988/05,16717012,18493237,6213560,138256438,348752285,530840872,582821305,651295823,282469491
1988/06,15225795,18432575,4446330,153448021,383171116,585751396,674237473,624148544,302834606
1988/07,18716615,20971146,7766717,153934820,390967314,645721146,719895949,744293736,337111680
1988/08,21464621,23429909,5941787,152731954,394604926,593347356,675666488,612561268,295818661
1988/09,21362914,23263252,5617576,157538596,402782114,653393686,763409684,754595855,327491921
1988/10,20754260,23854358,6449208,149432532,407240381,643550877,743720570,772252368,327283345
1988/11,20857014,19724890,5530476,138203587,377864696,594164004,678179179,717903161,289444794
1988/12,20631198,23043731,9006395,169634871,447545468,716747836,739334378,754915004,321235082
1989/01,14248125,17441909,6909202,131448476,301897371,496366776,552867257,684459538,231281194
1989/02,17264400,18813922,6280578,158031891,370845184,618190912,663701445,751209113,271386543
1989/03,19401311,22485015,9260867,184051715,436827459,782902858,806325735,792473467,338396694
1989/04,16170454,20302834,9020084,168234891,392737956,651567583,704544470,804298416,300628409
1989/05,18816347,22274469,8953328,168250645,403165207,634054849,679837268,677297037,294929622
1989/06,17890264,23205483,10823490,178298893,435403985,740091086,774200843,728106036,338775137
1989/07,17820903,23322489,10990459,171546566,433908576,736898928,796711907,790420992,338325283
1989/08,20684139,22371841,11968708,164987907,408230804,672061421,743879800,692874074,324280444
1989/09,20588768,23603800,13992349,170710949,429663337,778183184,861049222,855507836,375917206
1989/10,23086993,22123504,11150162,169754147,418752894,734667953,774849375,772078315,359974400
1989/11,22044946,21334418,15990544,165762767,386411078,707451052,723600501,773394410,334908749
1989/12,24329985,25611477,19524776,197960662,470822268,852123242,780492601,813038777,364144695
1990/01,14178550,19430270,16514287,154018395,311649796,558513082,571030785,790211214,263373630
1990/02,17712872,21442618,11516778,186409280,387327137,710819312,688378771,839910606,326379083
1990/03,20357278,26936872,15445276,209704055,442949838,888520989,884201706,996436492,391858815
1990/04,20991684,23955315,16845035,203428335,435663107,764073256,785745086,812715300,381089350
1990/05,19109129,24736280,14328271,196790056,432056458,739074339,773027234,806560801,374377512
1990/06,19155679,23433444,11064177,198473793,435637369,813974560,853320873,875111128,393835194
1990/07,19359635,23596473,8897788,191549776,444387754,809979125,859839952,879666902,388388980
1990/08,19533158,24797687,10409111,185757971,415984754,731642597,803849512,789707326,357884798
1990/09,22275790,24597112,16655974,187654141,412167840,798235907,877336741,954988871,392017902
1990/10,21104081,23240249,19676274,191945962,423535007,790613955,830035965,878804092,393993896
1990/11,22097668,20148218,16744593,180193453,375784913,722536771,761478280,843644783,359636050
1990/12,21328058,23920929,25023641,209087385,470380614,847741598,838697908,898967358,381613844
1991/01,16405035,18663810,14002773,169658109,330600642,600836006,651849074,864342220,284983430
1991/02,18077595,20654212,8999283,190620658,368468046,722703439,745330435,856034512,339559384
1991/03,19842840,24875368,15393106,217742716,446614855,893135523,922660613,1001439793,419785879
1991/04,17966953,21093625,13663979,188372029,408554700,756957473,787719366,781280412,340278172
1991/05,20624562,21779493,13672508,200941613,439101443,784279225,781860803,732284947,375674038
1991/06,19689227,22720552,13960979,196866529,434296208,781612468,856048260,825279957,388324904
1991/07,19579076,23789888,9442140,203456338,448807389,801955575,874173075,906678660,404955108
1991/08,19309239,22790765,14463594,188267063,413491970,751402981,817410875,802939444,367847935
1991/09,21839791,22622513,13924711,197294110,420343462,827904277,931941723,929685517,396717371
1991/10,23519526,22025064,19354917,199242958,434606451,823734986,897290789,907388130,421456959
