報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
1988/01,224815297,299415570,463443583,146539801,264742318,82535106,84249611,46716836,183706731
1988/02,241040496,270358636,475641131,144029821,258819206,86780715,88653719,101877455,260469735
1988/03,280855659,287399082,459127075,167228845,239222447,106065511,110513360,73689910,239863144
1988/04,285953262,284561309,415547139,149151284,323275470,86184775,85248730,66627103,275447212
1988/05,290720835,309969978,388653962,153998708,288790602,96826359,92109645,60561200,247283013
1988/06,323240876,303916938,416265734,157126411,285910282,101411599,90569375,81408718,256771888
1988/07,340425596,303971503,470359727,160533426,307272908,98572862,98490722,63954463,254408578
1988/08,378473473,315452849,377139994,162235328,315464637,102064816,107485535,53299030,301799670
1988/09,340723188,306892473,354811801,175426989,309489319,109286639,105367961,41992055,324943628
1988/10,361859334,318521435,351472736,158101724,315254865,103934736,110230938,65465760,304049323
1988/11,344085449,293012724,344362759,162000493,306910703,106621325,111366282,69938967,282162633
1988/12,323199886,298447533,392399439,163642957,287938692,113679318,106336890,56642730,269007851
1989/01,275388672,326910726,428069003,167440850,300345353,109488892,108168852,49937356,258694692
1989/02,262427116,283001866,426742067,154851736,272802929,100021308,103978622,52087938,290548643
1989/03,377403642,386451090,489610335,213303268,359754149,137534970,139757711,57035953,383845828
1989/04,326248608,274433053,440374060,175124508,333437858,103945064,107324361,68614002,275182770
1989/05,372951651,374458344,485689000,197034406,359869512,127753278,130573160,67045910,285426117
1989/06,390672139,384028011,472518173,198830025,364675875,139052003,132916149,94077539,314798203
1989/07,379610227,370844339,455666557,192156823,370580105,133063897,140089654,90374581,340071648
1989/08,397738214,373494059,509255065,176837888,354867956,137856459,139715398,113265078,386456159
1989/09,359289577,364691322,505437401,167939068,356314641,143429111,139403759,66239326,382636618
1989/10,372470412,376977832,508973161,182591902,410633803,145588292,147954278,92339037,381397448
1989/11,390942046,357620215,556487717,179544160,379195687,151395989,148230762,104504524,378599720
1989/12,359105547,336795669,637355998,178634164,365332390,148991650,141768037,105003140,380156725
1990/01,319139306,357942174,626161256,184324352,360048598,158799088,148235903,122846259,371397919
1990/02,302549962,330986582,600764016,180227490,323390674,145730962,128048004,124027271,333093480
1990/03,408457039,355280813,664603939,190200632,349072264,167344081,162209634,140909683,385411074
1990/04,395995058,367475391,614275069,206284062,424797840,176412457,146145445,168508194,387759079
1990/05,431657672,403902641,587595131,200563177,412181486,180818182,166289872,140352914,376183344
1990/06,414357123,352529010,475389027,192168127,361284066,176976238,155332842,101420961,374890219
1990/07,412829552,364088246,512105049,205028081,378194015,177014798,166340145,148310342,458656058
