,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,01_スーパーマーケット,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,02_コンビニエンスストア,03_ホームセンター,03_ホームセンター,03_ホームセンター,03_ホームセンター,03_ホームセンター,03_ホームセンター,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,04_ドラッグストア,05_家電大型専門店,05_家電大型専門店
,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,60_その他,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,60_その他,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,00_大分類計,10_食品,20_飲料,30_雑貨,40_化粧品,50_ヘルスケア,00_大分類計,70_家電
,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計,00_中分類計
2012-01-08,88.14,86.70,89.94,86.27,92.53,109.48,93.10,98.27,88.35,94.29,106.38,124.99,117.32,104.80,71.96,66.65,62.99,80.01,92.70,51.08,77.08,74.84,75.80,74.28,80.73,80.25,,
2012-01-15,92.35,95.28,85.00,94.22,78.38,102.61,97.59,100.63,89.68,93.45,99.08,111.51,106.32,110.16,77.76,77.31,66.30,85.33,104.03,53.52,85.59,88.92,81.53,87.32,86.40,84.86,,
2012-01-22,90.77,93.21,83.84,91.26,89.50,96.27,95.99,102.75,94.80,94.31,96.33,103.15,107.98,111.84,73.88,77.04,63.31,79.86,89.18,49.22,81.76,87.24,82.11,82.04,82.18,78.98,,
2012-01-29,93.69,97.00,86.22,93.04,83.76,100.22,97.58,104.44,97.99,95.49,102.25,106.44,116.77,112.90,79.90,79.45,66.58,88.34,111.54,55.87,93.57,101.00,89.79,95.63,99.28,88.37,,
2012-02-05,98.01,101.46,89.48,97.66,90.03,110.59,102.37,104.78,98.18,96.07,104.95,112.51,123.30,112.99,78.57,80.20,66.16,86.02,95.79,56.10,89.62,95.96,86.95,90.09,92.57,87.23,,
2012-02-12,98.34,104.15,88.37,89.84,89.18,102.32,97.58,103.56,97.37,96.29,97.81,102.30,123.69,110.92,79.87,82.80,68.81,86.04,97.52,56.98,86.50,97.87,87.51,85.60,81.90,84.90,,
2012-02-19,97.90,102.01,90.95,92.93,86.01,105.34,96.66,103.32,95.04,96.00,99.23,102.54,119.53,111.68,77.92,81.30,72.20,81.16,89.11,53.35,85.56,93.78,88.55,84.23,81.05,84.19,,
2012-02-26,95.67,97.72,91.40,92.84,93.70,102.40,97.13,104.78,97.18,98.19,95.96,102.56,113.94,112.63,79.64,79.50,71.05,85.51,107.07,53.84,95.59,101.90,96.57,96.05,102.87,88.54,,
2012-03-04,98.37,100.38,93.71,95.32,101.73,101.39,100.89,106.16,99.16,98.51,98.02,102.93,106.10,114.46,77.88,77.55,70.74,83.87,85.38,48.55,89.11,95.97,90.81,88.88,93.36,83.59,,
2012-03-11,96.01,97.29,90.19,94.91,115.50,106.93,97.15,105.15,98.00,98.52,96.42,95.87,107.30,112.93,76.33,77.19,69.64,81.64,82.85,46.72,86.52,95.13,90.25,85.82,81.37,84.04,,
2012-03-18,93.43,95.59,90.62,90.55,78.32,95.76,96.01,105.91,100.08,99.78,100.22,107.95,108.37,112.59,85.16,79.42,78.46,93.10,102.15,50.97,85.02,93.27,89.47,83.16,83.08,81.97,,
2012-03-25,97.34,96.83,95.10,97.37,119.62,108.55,98.65,106.08,99.18,101.40,100.83,107.04,110.56,112.33,84.67,78.16,77.09,93.41,99.28,51.91,92.52,97.61,95.56,90.99,97.80,87.70,,
2012-04-01,95.94,96.87,95.18,92.80,88.98,96.75,99.24,108.56,101.58,104.41,103.23,111.13,110.72,114.56,83.75,77.55,76.89,92.18,95.23,48.96,95.70,100.00,96.44,95.22,107.72,88.30,,
2012-04-08,98.24,99.53,96.64,95.01,93.85,100.67,98.47,106.98,100.56,102.87,101.77,111.94,98.94,112.77,84.14,78.54,77.65,91.89,105.45,48.25,85.42,94.18,92.11,84.32,86.39,78.28,,
2012-04-15,96.62,97.37,96.90,93.35,88.58,92.87,98.55,107.84,97.33,104.85,100.22,109.78,96.93,115.02,89.08,81.11,86.52,96.26,99.55,47.44,88.42,95.05,95.24,87.96,90.89,80.52,,
2012-04-22,96.07,96.34,93.77,94.00,115.27,95.11,97.13,106.00,96.25,101.66,96.61,98.24,93.19,113.79,87.21,77.34,79.67,97.75,104.64,46.12,88.43,92.88,94.08,88.74,93.13,80.20,,
2012-04-29,95.69,94.32,100.52,91.79,94.84,88.94,98.57,112.12,100.25,111.00,106.92,123.33,95.72,118.74,92.75,78.05,84.94,105.81,109.43,46.04,97.46,97.68,106.30,98.71,110.00,83.62,,
2012-05-06,102.24,98.52,112.80,99.63,93.09,100.53,106.56,106.44,94.37,108.08,106.83,124.64,91.07,111.24,105.43,83.98,95.78,123.40,108.49,48.44,100.38,97.84,109.89,104.97,103.40,87.82,,
2012-05-13,97.33,97.02,96.92,98.22,104.04,94.47,98.63,107.09,93.65,104.48,97.49,105.92,83.45,115.67,92.30,79.18,80.83,106.63,109.82,47.92,89.42,90.34,95.06,93.51,91.53,79.34,,
2012-05-20,97.15,96.95,98.58,96.88,91.42,92.43,97.88,108.63,96.33,107.42,98.25,110.08,83.87,115.82,94.17,79.68,90.96,105.06,98.86,44.75,89.34,90.69,96.17,93.05,93.24,77.86,,
2012-05-27,96.98,96.26,99.97,95.05,94.52,89.87,98.07,109.38,96.64,108.93,101.35,111.57,82.82,116.26,93.76,78.75,87.32,106.32,107.91,45.61,96.92,95.64,103.03,104.57,101.60,81.95,,
2012-06-03,99.92,98.12,104.55,103.43,89.77,91.21,101.27,108.91,95.45,109.02,103.41,109.56,81.20,115.74,96.75,79.33,88.21,112.15,99.78,44.27,95.29,91.46,102.92,101.74,102.34,80.42,,
2012-06-10,99.33,96.96,103.02,101.22,113.18,93.98,99.27,108.62,95.62,108.95,104.16,105.60,80.59,115.10,93.42,78.03,85.74,107.46,91.69,44.04,91.02,90.16,101.92,98.40,88.66,76.28,,
2012-06-17,101.50,98.67,108.95,103.04,92.98,95.86,102.84,108.38,95.78,107.18,103.79,102.92,81.94,115.60,97.98,81.60,95.03,109.35,107.04,48.65,92.15,90.16,105.25,98.05,88.96,78.38,,
2012-06-24,100.20,98.16,102.92,103.85,111.03,95.58,98.90,108.02,95.81,107.58,108.11,101.16,83.42,114.42,93.97,76.09,84.96,109.83,89.66,44.86,91.08,89.09,98.09,100.07,89.52,77.23,,
2012-07-01,101.48,98.99,106.57,104.78,98.22,94.09,105.34,112.47,97.60,113.31,112.28,113.96,88.79,119.30,98.32,78.26,91.19,113.52,110.26,48.27,104.93,95.96,109.95,115.34,115.48,87.51,,
2012-07-08,98.93,94.72,104.67,105.89,113.88,99.36,99.48,111.23,95.60,112.88,116.67,111.29,83.70,117.81,96.69,74.82,91.93,111.97,91.87,44.40,93.76,87.95,102.53,102.72,96.19,78.16,,
2012-07-15,96.08,91.66,106.88,100.54,83.06,86.91,98.62,112.86,96.91,119.05,127.39,132.23,85.35,116.41,98.43,73.56,102.19,109.66,103.82,46.50,94.54,86.08,107.02,102.73,96.07,78.60,,
2012-07-22,100.50,94.49,112.05,106.35,110.52,95.51,99.97,111.86,96.04,119.43,123.85,145.28,80.03,114.56,104.87,75.53,104.89,120.57,104.97,47.74,94.77,83.91,108.77,102.25,97.42,78.93,,
2012-07-29,100.68,93.96,117.34,103.14,92.84,92.68,101.12,118.45,101.26,131.11,135.11,164.77,82.78,118.52,99.73,68.85,106.47,111.36,115.99,46.92,105.36,92.70,123.23,112.40,113.38,85.32,,
2012-08-05,105.28,97.15,124.23,109.23,100.00,100.97,106.40,119.95,101.45,133.85,133.88,170.79,84.11,119.92,101.13,73.83,114.40,108.31,101.37,45.39,99.31,85.80,120.57,104.40,104.18,80.98,,
2012-08-12,102.63,95.12,123.44,104.28,81.58,90.69,102.18,117.00,99.74,127.06,129.56,154.14,87.71,118.80,102.19,75.33,116.99,108.25,105.53,45.67,95.64,84.64,125.89,96.91,92.61,78.29,,
2012-08-19,102.13,94.91,121.80,102.92,80.79,93.94,106.13,111.97,96.15,122.13,132.23,150.75,91.15,112.66,99.57,74.77,108.44,108.10,95.05,48.59,89.32,76.69,105.37,94.08,85.26,79.06,,
2012-08-26,100.67,95.38,111.82,103.92,104.28,97.05,102.62,116.81,98.96,128.89,124.56,135.61,84.77,117.95,89.75,70.54,95.12,96.93,102.29,46.88,95.40,84.23,104.52,102.92,100.95,81.67,,
2012-09-02,100.84,96.64,111.55,103.74,85.69,93.37,105.83,113.08,95.53,120.80,113.97,113.44,80.17,117.07,89.90,72.17,95.42,96.95,88.02,45.65,93.13,83.43,103.53,99.48,98.83,79.21,,
2012-09-09,97.48,93.17,104.62,101.84,109.80,91.15,101.67,110.31,93.25,116.33,109.61,100.61,79.13,115.19,90.60,71.54,90.87,100.85,95.28,48.52,87.80,83.48,99.93,94.02,84.82,75.07,,
2012-09-16,95.97,92.40,106.98,95.46,77.01,84.89,101.30,112.07,93.60,120.37,109.93,106.53,81.14,116.25,91.13,71.57,98.43,98.13,82.86,46.59,86.36,79.92,100.20,89.76,85.29,75.53,,
2012-09-23,98.19,94.97,104.65,99.91,103.03,93.84,100.96,105.76,88.80,110.56,102.26,93.13,77.46,111.41,86.78,70.79,86.72,96.18,83.63,45.36,84.57,79.55,95.47,88.21,85.24,74.16,,
2012-09-30,99.21,98.06,100.05,99.44,111.80,93.30,104.14,108.42,91.75,110.10,103.05,94.43,80.56,115.90,86.14,74.80,84.95,93.44,103.60,47.91,98.12,92.69,100.59,102.55,112.68,86.18,,
2012-10-07,98.94,97.46,101.79,102.52,91.18,102.18,100.22,108.92,91.90,112.99,105.02,99.08,85.42,115.00,86.86,74.00,83.66,96.54,89.83,46.63,85.53,82.21,92.87,89.08,86.49,77.00,78.58,78.58
2012-10-14,96.70,96.07,97.83,98.54,91.99,95.85,99.19,104.61,88.80,107.36,98.87,103.33,90.65,110.82,88.42,77.53,83.21,97.61,110.08,51.49,85.72,83.09,91.92,87.43,85.89,80.24,84.55,84.55
2012-10-21,98.31,97.43,97.07,101.19,113.67,105.68,98.80,105.76,89.53,107.29,100.63,105.35,91.85,112.88,88.62,78.05,85.47,96.60,103.66,53.33,89.31,86.09,93.44,89.60,94.28,84.80,77.23,77.23
2012-10-28,95.17,94.80,93.83,96.31,105.87,99.51,97.43,104.76,89.22,105.60,98.50,108.28,93.25,111.96,84.06,76.37,78.16,91.78,110.25,53.45,93.61,91.34,95.52,94.55,103.85,87.01,83.79,83.79
2012-11-04,97.09,97.81,94.88,99.71,85.71,103.53,101.15,104.27,91.28,103.48,103.17,112.97,96.71,111.03,86.51,78.59,78.15,96.16,103.64,54.00,89.15,86.70,89.82,89.13,99.44,84.59,89.40,89.40
2012-11-11,95.63,96.15,91.36,98.13,108.65,103.43,96.54,101.91,89.85,100.72,96.71,104.96,97.17,108.59,80.35,76.35,73.67,86.77,106.63,53.47,85.59,86.33,86.87,86.38,89.13,81.76,80.40,80.40
2012-11-18,95.34,95.72,95.62,94.30,85.52,95.28,98.19,101.55,90.22,100.00,98.07,104.39,98.00,108.03,83.76,78.11,80.12,89.89,96.15,51.98,82.05,81.56,84.66,82.87,84.41,78.31,81.42,81.42
2012-11-25,98.18,97.67,95.14,103.46,115.80,108.24,95.84,100.66,90.77,99.76,100.39,115.77,102.94,105.81,89.19,79.12,77.73,101.26,114.21,56.24,92.14,89.64,92.56,94.22,103.78,84.70,98.51,98.51
2012-12-02,96.58,97.91,90.71,99.95,102.28,102.04,99.90,101.23,91.85,96.56,101.10,107.59,105.88,108.46,85.75,76.98,74.82,96.96,108.78,54.31,90.42,88.27,89.05,92.60,103.00,83.53,95.52,95.52
2012-12-09,97.24,96.87,90.22,104.31,134.14,112.22,97.61,100.93,92.32,96.32,103.79,116.09,108.46,107.59,87.75,77.92,78.19,98.55,108.12,58.24,91.42,90.61,88.26,92.69,110.72,83.09,105.22,105.22
2012-12-16,100.81,99.82,95.80,109.88,130.30,110.36,101.23,104.01,95.34,99.90,108.05,127.77,122.38,110.18,97.70,85.54,90.43,108.09,127.75,64.01,98.11,90.96,93.43,100.31,120.00,90.86,112.56,112.56
2012-12-23,101.01,99.65,99.79,106.76,118.40,110.21,99.55,103.69,95.29,99.19,104.86,113.98,125.28,110.12,96.11,84.55,88.90,106.93,109.89,60.01,95.58,88.98,98.23,96.83,109.77,87.79,100.75,100.75
2012-12-30,127.20,128.47,130.19,124.71,102.03,119.28,114.54,105.10,92.56,99.33,114.62,125.04,133.27,113.88,125.93,119.32,121.63,135.01,125.36,68.58,112.23,99.39,127.54,114.41,120.26,99.68,100.37,100.37
2013-01-06,98.84,94.09,112.60,91.47,90.82,120.16,100.25,92.05,84.05,93.10,107.16,122.72,123.42,94.22,79.01,72.58,82.87,80.99,82.14,53.87,82.26,75.30,88.19,80.64,83.46,81.90,159.45,159.45
2013-01-13,90.91,93.81,82.88,92.99,81.65,100.71,97.45,98.15,88.62,92.78,99.22,106.74,120.38,105.64,73.05,68.27,64.22,80.53,95.87,55.04,82.77,83.19,76.18,85.82,85.91,82.21,81.66,81.66
2013-01-20,94.89,97.75,86.01,97.54,91.52,108.21,100.06,96.98,90.27,90.96,94.88,96.90,115.34,103.71,74.47,68.94,69.76,80.35,83.91,56.15,80.92,83.96,78.73,84.21,79.78,78.11,83.98,83.98
2013-01-27,93.26,96.59,85.54,93.02,81.05,102.69,98.55,99.23,92.70,93.22,93.38,96.04,123.89,105.94,76.51,72.59,69.73,82.59,99.00,56.69,88.43,93.39,85.27,91.71,91.49,83.57,82.13,82.13
2013-02-03,96.25,99.98,89.26,94.07,76.03,103.64,102.16,100.52,93.73,94.46,91.14,93.86,124.52,107.54,76.92,72.53,70.43,83.58,84.94,55.94,86.37,89.80,84.39,88.33,90.83,82.10,84.65,84.65
2013-02-10,95.98,100.25,87.65,90.43,90.25,105.09,97.39,100.81,95.44,95.92,94.38,93.10,125.49,106.34,74.71,72.83,69.09,79.53,86.20,56.90,81.42,90.34,82.56,82.74,78.32,77.33,82.63,82.63
2013-02-17,102.51,108.76,91.96,96.48,82.53,104.49,101.94,98.29,91.81,92.58,92.98,97.80,115.39,104.85,80.15,79.23,76.49,84.01,83.77,58.18,84.40,89.56,85.46,85.51,83.78,80.80,97.94,97.94
2013-02-24,96.36,99.19,88.80,94.61,100.30,110.06,97.13,99.63,94.12,94.10,94.24,97.73,115.03,105.65,77.11,72.11,71.06,83.19,96.80,59.07,86.04,91.87,84.46,88.13,89.73,80.82,93.54,93.54
2013-03-03,101.76,104.48,95.47,98.74,99.01,113.85,105.30,103.28,96.24,97.22,96.92,99.72,118.61,110.40,80.55,73.98,76.97,86.44,87.75,59.73,95.21,95.64,91.26,96.99,104.68,91.17,102.61,102.61
2013-03-10,97.29,97.61,92.07,97.07,117.64,133.19,97.90,103.21,95.14,100.41,98.37,96.37,139.73,108.55,80.84,69.18,75.72,88.50,96.51,73.13,93.14,91.59,89.42,91.62,90.16,99.55,106.32,106.32
2013-03-17,96.44,98.65,92.93,93.22,82.13,108.76,99.42,103.29,96.47,100.40,98.60,98.38,128.63,108.21,82.73,71.15,82.18,89.15,82.82,61.55,87.09,87.57,86.12,86.61,87.35,88.03,114.09,114.09
2013-03-24,96.02,95.52,95.31,95.51,106.33,107.30,97.85,102.44,94.21,101.21,96.32,94.89,116.08,107.21,83.24,67.22,79.48,93.61,84.20,57.04,84.92,84.37,89.06,84.95,86.82,81.22,130.50,130.50
2013-03-31,97.90,98.99,94.17,96.34,104.38,104.87,101.73,106.15,100.06,103.35,100.12,103.99,115.51,110.87,85.49,70.90,81.38,95.13,107.23,54.69,96.97,97.88,96.46,99.98,109.37,87.50,125.63,125.63
2013-04-07,100.59,102.72,95.91,100.03,97.40,101.84,100.83,103.46,97.48,99.56,96.75,95.61,101.23,108.97,83.23,71.74,80.26,91.46,90.32,52.14,81.78,85.52,85.95,83.56,84.47,74.11,96.86,96.86
2013-04-14,96.72,99.45,93.27,94.42,79.42,87.53,98.83,102.38,95.85,99.10,94.59,107.41,100.24,107.73,85.63,72.77,82.32,94.85,90.86,51.88,84.67,88.60,87.85,88.22,88.71,74.91,89.76,89.76
2013-04-21,101.23,102.16,96.82,100.78,120.32,102.53,100.80,104.27,96.80,100.80,94.62,99.94,96.74,110.37,90.91,71.52,90.33,100.98,109.14,54.06,89.54,88.96,92.38,91.85,99.75,80.13,88.61,88.61
2013-04-28,97.39,98.09,96.59,93.40,100.97,94.64,99.63,105.94,99.16,103.47,94.82,110.92,99.82,111.06,88.63,70.41,87.02,99.10,103.09,49.45,93.54,94.46,96.66,96.09,107.99,81.04,86.85,86.85
2013-05-05,101.84,100.17,108.60,96.41,92.25,99.50,105.85,104.33,97.15,104.97,99.08,127.86,101.33,107.41,104.25,84.42,102.14,116.65,107.94,55.58,89.79,83.84,98.21,91.43,98.35,79.95,120.91,120.91
2013-05-12,99.61,99.23,99.16,98.71,113.05,97.25,101.12,102.91,92.94,102.00,89.91,101.92,90.84,108.76,91.10,74.53,88.67,101.02,110.85,54.50,86.92,83.38,91.11,90.25,94.99,77.49,91.06,91.06
2013-05-19,96.37,96.28,98.61,95.76,82.77,86.01,99.56,105.84,95.01,107.24,97.60,107.84,87.50,110.59,95.44,73.53,96.81,106.42,99.55,50.32,87.31,82.91,92.52,93.64,93.94,74.70,96.12,96.12
2013-05-26,99.89,97.64,104.41,102.57,101.24,94.42,100.63,107.58,94.63,110.63,101.22,118.94,84.28,112.28,98.89,72.85,98.26,112.22,118.62,53.17,97.46,87.35,102.15,107.32,112.72,79.04,108.66,108.66
2013-06-02,99.54,98.33,102.09,104.41,90.86,88.70,101.61,104.07,93.71,104.11,98.50,97.75,80.67,109.46,96.75,72.45,95.40,110.75,91.88,48.67,92.34,85.42,97.15,101.25,101.23,76.87,115.28,115.28
2013-06-09,101.47,98.49,105.62,105.76,119.43,94.84,99.17,105.79,93.52,108.93,101.36,104.11,80.52,110.15,98.19,74.35,98.31,110.89,98.00,51.94,90.36,84.06,99.37,99.19,93.87,74.38,112.58,112.58
2013-06-16,104.09,99.51,115.02,107.43,98.81,92.44,105.70,108.43,94.89,111.62,110.69,108.86,79.68,113.18,104.72,76.06,112.31,114.73,116.46,57.62,95.89,84.20,108.16,106.99,97.41,77.92,158.00,158.00
2013-06-23,99.37,97.05,101.86,103.85,116.24,89.77,99.06,104.72,92.49,106.08,105.65,99.95,78.42,110.01,95.18,69.93,94.00,109.13,90.95,51.80,90.34,81.62,96.40,101.33,92.67,75.42,151.15,151.15
2013-06-30,101.48,99.29,105.10,105.57,105.74,89.67,103.82,107.51,94.08,108.50,106.49,104.07,84.68,113.63,100.19,72.85,100.23,113.97,108.70,55.25,101.90,89.70,104.97,114.10,115.42,83.51,134.60,134.60
2013-07-07,102.35,98.50,108.81,108.59,109.11,96.64,102.95,108.58,94.75,112.76,115.17,110.43,78.66,112.74,96.47,70.70,101.46,107.25,91.21,51.26,93.40,81.56,99.58,104.23,102.17,76.59,163.78,163.78
2013-07-14,101.07,94.06,117.28,105.48,98.20,94.12,100.19,112.86,98.50,125.43,132.43,149.68,80.84,111.54,104.06,68.93,118.91,112.68,117.72,53.38,96.17,79.79,110.32,106.54,104.07,76.35,231.91,231.91
2013-07-21,102.17,97.27,113.16,107.10,96.65,97.59,102.09,107.46,95.13,114.63,110.18,127.41,78.41,109.09,105.68,71.11,118.41,115.66,106.37,56.07,93.94,80.85,105.15,102.85,99.65,77.73,165.98,165.98
2013-07-28,98.78,94.56,109.29,100.09,95.22,87.99,100.79,110.71,97.08,118.46,117.77,125.36,79.54,112.52,98.04,68.71,108.97,106.21,109.81,53.80,96.90,86.38,109.10,105.06,105.70,78.40,125.03,125.03
2013-08-04,101.37,97.09,112.51,104.74,84.90,94.14,104.16,110.90,97.55,118.63,120.64,129.82,79.69,112.47,97.09,69.80,109.28,104.44,89.73,51.41,92.56,81.01,105.09,99.73,98.29,76.85,123.18,123.18
2013-08-11,103.86,96.43,123.66,105.35,91.45,89.61,103.22,116.24,101.82,130.34,135.01,159.74,82.95,114.03,103.02,69.56,124.64,107.24,104.85,55.67,96.71,84.02,121.69,102.66,95.94,77.21,140.43,140.43
2013-08-18,107.74,98.54,135.02,106.13,77.54,94.18,107.36,111.94,98.63,125.87,136.00,175.35,90.93,108.87,107.68,71.67,131.55,111.83,101.33,61.52,93.47,74.93,115.11,98.53,92.06,79.78,159.48,159.48
2013-08-25,100.45,96.90,108.80,102.35,98.06,93.40,101.98,110.85,95.84,120.08,117.21,114.01,80.48,112.50,88.40,66.44,99.02,93.10,94.42,56.76,92.74,81.90,100.11,101.23,98.08,79.08,119.46,119.46
2013-09-01,99.85,98.14,105.04,101.54,83.88,89.73,105.93,107.87,93.82,113.48,105.21,96.19,77.27,111.64,89.88,67.54,96.46,97.85,82.88,53.01,90.20,81.98,95.17,98.19,94.71,78.26,106.77,106.77
2013-09-08,97.28,96.26,98.28,101.16,98.59,86.75,100.92,104.28,90.70,106.00,100.96,87.63,75.42,110.24,87.39,68.62,89.32,96.07,88.90,53.84,83.69,82.10,91.35,90.28,81.59,72.28,99.74,99.74
2013-09-15,96.40,94.50,103.80,95.19,74.20,87.79,102.32,107.81,93.74,114.23,104.98,94.68,81.33,111.07,91.08,69.51,99.32,98.01,78.05,53.74,84.80,81.16,94.80,89.76,82.18,74.60,95.62,95.62
