,01_スーパーマーケット,02_コンビニエンスストア,03_ホームセンター,04_ドラッグストア,05_家電大型専門店
2012-10-07,98.94,108.92,86.86,85.53,78.58
2012-10-14,96.70,104.61,88.42,85.72,84.55
2012-10-21,98.31,105.76,88.62,89.31,77.23
2012-10-28,95.17,104.76,84.06,93.61,83.79
2012-11-04,97.09,104.27,86.51,89.15,89.40
2012-11-11,95.63,101.91,80.35,85.59,80.40
2012-11-18,95.34,101.55,83.76,82.05,81.42
2012-11-25,98.18,100.66,89.19,92.14,98.51
2012-12-02,96.58,101.23,85.75,90.42,95.52
2012-12-09,97.24,100.93,87.75,91.42,105.22
2012-12-16,100.81,104.01,97.70,98.11,112.56
2012-12-23,101.01,103.69,96.11,95.58,100.75
2012-12-30,127.20,105.10,125.93,112.23,100.37
2013-01-06,98.84,92.05,79.01,82.26,159.45
2013-01-13,90.91,98.15,73.05,82.77,81.66
2013-01-20,94.89,96.98,74.47,80.92,83.98
2013-01-27,93.26,99.23,76.51,88.43,82.13
2013-02-03,96.25,100.52,76.92,86.37,84.65
2013-02-10,95.98,100.81,74.71,81.42,82.63
2013-02-17,102.51,98.29,80.15,84.40,97.94
2013-02-24,96.36,99.63,77.11,86.04,93.54
2013-03-03,101.76,103.28,80.55,95.21,102.61
2013-03-10,97.29,103.21,80.84,93.14,106.32
2013-03-17,96.44,103.29,82.73,87.09,114.09
2013-03-24,96.02,102.44,83.24,84.92,130.50
2013-03-31,97.90,106.15,85.49,96.97,125.63
2013-04-07,100.59,103.46,83.23,81.78,96.86
2013-04-14,96.72,102.38,85.63,84.67,89.76
2013-04-21,101.23,104.27,90.91,89.54,88.61
2013-04-28,97.39,105.94,88.63,93.54,86.85
2013-05-05,101.84,104.33,104.25,89.79,120.91
2013-05-12,99.61,102.91,91.10,86.92,91.06
2013-05-19,96.37,105.84,95.44,87.31,96.12
2013-05-26,99.89,107.58,98.89,97.46,108.66
2013-06-02,99.54,104.07,96.75,92.34,115.28
2013-06-09,101.47,105.79,98.19,90.36,112.58
2013-06-16,104.09,108.43,104.72,95.89,158.00
2013-06-23,99.37,104.72,95.18,90.34,151.15
2013-06-30,101.48,107.51,100.19,101.90,134.60
2013-07-07,102.35,108.58,96.47,93.40,163.78
2013-07-14,101.07,112.86,104.06,96.17,231.91
2013-07-21,102.17,107.46,105.68,93.94,165.98
2013-07-28,98.78,110.71,98.04,96.90,125.03
2013-08-04,101.37,110.90,97.09,92.56,123.18
2013-08-11,103.86,116.24,103.02,96.71,140.43
2013-08-18,107.74,111.94,107.68,93.47,159.48
2013-08-25,100.45,110.85,88.40,92.74,119.46
2013-09-01,99.85,107.87,89.88,90.20,106.77
2013-09-08,97.28,104.28,87.39,83.69,99.74
2013-09-15,96.40,107.81,91.08,84.80,95.62
2013-09-22,97.70,105.17,89.63,84.29,97.72
2013-09-29,97.97,105.04,91.50,96.07,100.51
2013-10-06,99.82,105.73,86.14,86.90,86.79
2013-10-13,93.81,107.07,86.01,84.32,80.73
2013-10-20,98.92,101.21,90.33,87.69,91.66
2013-10-27,97.68,101.88,88.31,91.30,87.34
2013-11-03,94.75,103.44,88.25,89.06,87.82
2013-11-10,96.37,99.30,88.38,87.38,98.03
2013-11-17,94.66,100.35,87.37,87.24,92.41
2013-11-24,95.37,98.80,91.02,88.80,104.61
2013-12-01,96.88,101.23,90.01,97.56,105.22
2013-12-08,96.28,100.61,92.51,94.60,117.46
2013-12-15,98.86,100.67,99.22,99.62,126.49
2013-12-22,97.88,100.72,97.37,97.49,118.35
2013-12-29,117.99,102.66,127.31,112.64,117.29
2014-01-05,107.09,91.47,94.01,94.85,187.12
2014-01-12,87.93,94.85,77.46,83.68,104.78
2014-01-19,92.00,94.68,83.93,85.97,120.11
2014-01-26,94.16,97.52,84.33,93.73,110.61
2014-02-02,93.70,97.99,83.96,89.42,126.15
2014-02-09,93.31,96.63,75.06,79.86,111.01
2014-02-16,105.20,97.26,89.46,87.85,136.80
2014-02-23,100.46,98.35,93.13,93.89,146.84
2014-03-02,99.82,100.54,93.79,103.12,186.22
2014-03-09,102.24,99.13,103.99,97.87,231.41
2014-03-16,100.89,101.07,110.28,102.35,230.45
2014-03-23,108.84,102.66,122.45,109.94,251.43
2014-03-30,119.78,113.98,150.66,148.14,232.93
2014-04-06,92.91,97.54,91.19,88.87,101.34
2014-04-13,86.57,92.47,78.18,74.07,89.08
2014-04-20,92.10,95.96,87.53,80.28,80.05
2014-04-27,91.08,98.91,90.47,85.28,78.11
2014-05-04,95.27,100.41,102.40,84.92,99.33
2014-05-11,97.71,95.36,98.80,85.84,92.49
2014-05-18,92.65,98.99,97.51,83.89,79.76
2014-05-25,96.74,100.04,98.40,92.01,89.01
2014-06-01,98.18,102.10,104.83,95.05,119.59
2014-06-08,98.20,99.05,99.97,87.45,125.73
2014-06-15,101.77,101.65,108.97,97.05,115.98
2014-06-22,97.74,101.42,101.21,90.03,115.04
2014-06-29,97.74,102.82,106.58,98.46,117.28
2014-07-06,99.81,103.34,103.15,96.08,128.03
2014-07-13,98.96,101.34,104.72,92.92,149.80
2014-07-20,96.18,104.50,107.93,94.56,147.73
2014-07-27,100.89,107.09,111.66,102.28,183.34
2014-08-03,100.10,108.08,104.73,96.40,136.36
2014-08-10,100.33,104.54,100.86,93.41,116.85
2014-08-17,105.97,104.25,113.64,94.08,120.24
2014-08-24,97.58,105.85,95.27,89.24,105.97
2014-08-31,96.48,103.40,97.58,97.04,95.45
2014-09-07,98.08,101.23,97.13,86.80,86.83
2014-09-14,93.37,102.71,96.32,88.41,83.27
2014-09-21,97.09,99.30,99.52,89.22,90.25
2014-09-28,96.42,100.74,95.63,96.00,90.98
2014-10-05,98.76,101.35,91.30,89.50,73.84
2014-10-12,98.22,100.58,95.77,87.06,65.28
2014-10-19,96.09,95.99,98.28,88.12,75.11
2014-10-26,98.26,99.18,95.94,94.54,73.31
2014-11-02,95.57,99.41,93.25,89.89,75.10
2014-11-09,96.43,95.64,93.89,88.72,82.89
2014-11-16,95.52,97.11,94.82,90.53,73.14
2014-11-23,95.13,96.70,92.89,87.66,81.15
2014-11-30,97.44,96.84,97.28,97.24,92.36
2014-12-07,99.49,96.22,98.61,92.71,97.89
2014-12-14,98.47,97.02,102.60,101.18,104.09
2014-12-21,102.70,97.53,110.45,103.78,102.39
2014-12-28,114.90,99.88,128.24,112.89,94.87
2015-01-04,113.38,89.66,108.42,98.80,137.84
2015-01-11,91.15,93.08,82.71,89.35,82.23
2015-01-18,92.09,92.15,87.17,88.74,80.94
2015-01-25,94.56,95.05,86.96,91.84,75.62
2015-02-01,94.09,94.97,86.90,89.08,76.67
2015-02-08,97.09,95.25,88.84,89.47,79.01
2015-02-15,103.70,95.36,96.15,93.93,92.62
2015-02-22,95.09,95.71,90.07,92.38,91.06
2015-03-01,96.71,98.06,88.80,101.19,93.51
2015-03-08,99.16,96.61,90.07,94.94,106.93
2015-03-15,97.05,96.32,93.38,95.99,116.70
2015-03-22,95.62,98.13,94.65,93.36,119.24
2015-03-29,97.07,99.94,97.06,106.46,116.92
2015-04-05,100.07,100.54,97.75,96.08,104.71
2015-04-12,96.84,96.50,95.16,93.53,84.12
2015-04-19,98.17,98.57,102.17,96.33,79.32
2015-04-26,100.45,101.31,102.50,104.01,85.11
2015-05-03,101.91,105.66,114.44,104.98,104.51
2015-05-10,103.61,96.85,112.19,98.92,112.78
2015-05-17,98.67,99.81,103.96,99.44,80.44
2015-05-24,98.94,99.81,102.53,96.67,90.81
2015-05-31,101.95,102.44,108.71,112.41,105.39
2015-06-07,103.41,100.22,105.61,99.16,102.88
2015-06-14,99.66,100.39,102.38,100.80,99.38
2015-06-21,105.41,102.33,112.13,106.07,107.47
2015-06-28,99.84,101.87,106.01,107.66,109.77
2015-07-05,101.72,102.24,103.03,101.63,112.19
2015-07-12,100.70,101.87,107.19,102.71,135.67
2015-07-19,99.83,104.69,109.59,101.56,179.21
2015-07-26,105.03,106.87,112.22,111.99,173.69
2015-08-02,104.03,111.20,110.22,110.12,177.43
2015-08-09,105.26,111.67,110.36,107.26,152.77
2015-08-16,109.43,106.97,116.99,104.93,125.59
2015-08-23,99.20,104.25,94.04,95.83,97.70
2015-08-30,97.87,102.04,95.40,101.26,87.77
2015-09-06,100.16,101.72,96.34,96.54,87.74
2015-09-13,97.74,101.00,96.03,95.17,84.46
2015-09-20,99.12,103.45,99.15,97.17,76.11
2015-09-27,99.93,99.41,100.86,102.25,99.23
2015-10-04,98.46,102.23,95.13,101.01,73.93
2015-10-11,98.47,100.78,93.63,98.43,68.32
2015-10-18,99.63,99.82,100.78,99.99,75.14
2015-10-25,100.86,101.83,96.94,104.35,71.16
2015-11-01,97.29,100.16,94.60,102.67,71.95
2015-11-08,97.80,97.89,94.65,94.57,82.23
2015-11-15,97.43,97.65,92.13,97.02,71.25
2015-11-22,96.01,97.45,92.55,94.34,78.46
2015-11-29,98.61,95.57,97.13,103.74,97.30
2015-12-06,101.73,97.92,99.07,104.85,97.78
2015-12-13,99.10,98.44,99.73,106.37,98.79
2015-12-20,102.85,99.55,109.44,114.24,97.60
2015-12-27,110.13,99.00,117.75,113.06,94.37
2016-01-03,120.34,95.10,113.07,107.71,125.74
2016-01-10,92.81,93.38,83.06,93.06,88.65
2016-01-17,94.89,92.84,88.47,95.68,80.43
2016-01-24,95.74,94.54,83.28,91.65,73.52
2016-01-31,97.91,96.27,90.08,105.87,78.09
2016-02-07,100.73,95.19,89.36,96.70,83.30
2016-02-14,102.66,94.58,90.74,97.59,87.57
2016-02-21,99.43,96.79,92.11,101.15,85.73
2016-02-28,97.89,97.17,89.46,106.24,88.02
2016-03-06,100.95,97.39,90.92,102.90,99.14
2016-03-13,97.39,96.83,87.59,97.11,110.12
2016-03-20,97.69,99.12,95.10,100.15,109.82
2016-03-27,99.40,98.99,98.92,108.76,130.58
2016-04-03,99.92,103.44,97.52,103.15,106.13
2016-04-10,98.57,98.19,95.46,97.51,86.16
2016-04-17,100.38,100.45,105.06,103.19,79.99
2016-04-24,101.87,100.53,104.17,101.51,83.28
2016-05-01,101.64,102.60,107.61,108.96,93.00
2016-05-08,105.65,99.01,113.79,100.77,118.68
2016-05-15,99.58,101.83,103.73,102.25,80.69
2016-05-22,100.17,101.53,102.56,100.15,91.74
2016-05-29,101.58,101.71,104.19,111.58,107.28
2016-06-05,103.64,102.31,105.74,102.45,104.24
2016-06-12,101.11,103.95,101.21,101.62,106.23
2016-06-19,104.49,103.84,108.28,104.00,125.51
2016-06-26,102.45,103.51,104.27,106.35,131.92
2016-07-03,102.07,105.55,104.41,105.12,156.72
2016-07-10,103.65,104.93,108.26,109.83,186.20
2016-07-17,98.45,105.87,108.92,101.72,137.46
2016-07-24,103.53,106.98,110.82,104.37,137.56
2016-07-31,101.58,111.57,107.06,113.84,115.86
2016-08-07,105.66,115.75,108.97,105.44,130.76
2016-08-14,108.68,111.77,113.25,105.59,119.27
2016-08-21,105.85,107.57,105.96,101.72,117.60
2016-08-28,99.96,107.37,95.90,102.31,100.31
2016-09-04,101.57,107.35,98.60,97.07,93.62
2016-09-11,100.76,106.06,96.24,99.33,90.00
2016-09-18,96.82,103.66,93.01,94.58,85.51
2016-09-25,102.29,99.98,96.52,97.28,99.44
2016-10-02,100.42,105.32,95.18,102.74,84.60
2016-10-09,99.46,106.58,93.61,96.67,71.73
2016-10-16,101.70,103.47,105.11,102.51,76.69
2016-10-23,100.40,104.81,94.40,96.24,70.87
